Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
92df8f8cf8_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-02-01,2010-02-03,3410.4166666666665,3427.5,52597170.0,774.0,257958.3333333356
92df8f8cf8_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-02-09,2010-02-12,3403.0625,3431.75,46619820.0,687.0,391635.0
92df8f8cf8_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,97.48697916666667,96.84375,0.0,0.0,-193611.97916666808
92df8f8cf8_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.68229166666667,98.90625,36028125.0,366.0,68083.33333333189
92df8f8cf8_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-11,2010-03-12,96.796875,96.96875,39281625.0,407.0,58781.25
92df8f8cf8_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-03-16,2010-03-17,3582.75,3589.75,108921930.0,1522.0,212100.0
92df8f8cf8_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-03-26,2010-03-29,95.484375,95.15625,42079837.5,443.0,-124359.375
92df8f8cf8_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-04-06,2010-04-07,94.42708333333333,94.15625,44472750.0,473.0,-108062.49999999811
92df8f8cf8_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-05-13,2010-05-14,102.35416666666667,101.5,22954800.0,226.0,-163145.83333333425
92df8f8cf8_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-05-21,2010-05-27,3476.7916666666665,3449.5,27763235.0,401.0,-219382.49999999878
92df8f8cf8_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-06-09,2010-06-14,3467.5,3511.25,27069560.0,392.0,396250.0
92df8f8cf8_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-06-17,2010-06-18,108.171875,109.3125,26111025.0,242.0,231546.875
92df8f8cf8_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-06-28,2010-07-02,3510.5416666666665,3391.75,35162590.0,502.0,-1330610.8333333316
92df8f8cf8_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-07-12,2010-07-13,111.59114583333333,111.25,33499087.5,301.0,-96885.41666666532
92df8f8cf8_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2010-07-14,2010-07-15,110.34635416666667,111.78125,40050000.0,360.0,433338.54166666523
92df8f8cf8_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2010-07-19,2010-07-21,3475.0208333333335,3502.75,42550200.0,614.0,340514.1666666648
92df8f8cf8_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2010-07-28,2010-07-29,110.87760416666667,110.84375,37128000.0,336.0,-9750.000000001364
92df8f8cf8_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2010-08-02,2010-08-03,3535.25,3556.75,49635520.0,704.0,297560.0
92df8f8cf8_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2010-08-13,2010-08-18,3500.7708333333335,3503.0,45582665.0,653.0,56459.16666666471
92df8f8cf8_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2010-08-23,2010-08-27,3496.2291666666665,3429.0,58327720.0,836.0,-1135417.9166666642
92df8f8cf8_WN1Com_11,US ULTRA BOND CBT,WN1 Comdty,2010-09-07,2010-09-08,119.06510416666667,120.9375,24252075.0,205.0,312690.1041666659
92df8f8cf8_WN1Com_12,US ULTRA BOND CBT,WN1 Comdty,2010-09-13,2010-09-14,116.75260416666667,116.75,22441387.5,193.0,-416.6666666674246
92df8f8cf8_WN1Com_13,US ULTRA BOND CBT,WN1 Comdty,2010-09-20,2010-09-21,116.140625,116.40625,23719837.5,205.0,46484.375
92df8f8cf8_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2010-09-23,2010-09-27,3652.5833333333335,3684.25,56570400.0,776.0,562603.3333333307
92df8f8cf8_WN1Com_14,US ULTRA BOND CBT,WN1 Comdty,2010-10-12,2010-10-13,119.703125,117.8125,39987675.0,335.0,-518031.25
92df8f8cf8_WN1Com_15,US ULTRA BOND CBT,WN1 Comdty,2010-10-14,2010-10-15,118.13020833333333,115.96875,39726375.0,337.0,-624661.458333332
92df8f8cf8_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2010-10-21,2010-10-26,3758.375,3774.75,66811635.0,891.0,291510.0
92df8f8cf8_WN1Com_16,US ULTRA BOND CBT,WN1 Comdty,2010-10-25,2010-10-26,115.82291666666667,116.125,38776500.0,336.0,86395.83333333198
92df8f8cf8_WN1Com_17,US ULTRA BOND CBT,WN1 Comdty,2010-10-29,2010-11-01,113.3515625,113.875,43232475.0,383.0,158078.125
92df8f8cf8_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2010-11-24,2010-11-26,3793.125,3822.0,62141490.0,821.0,434857.5
92df8f8cf8_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2010-12-01,2010-12-02,3791.6041666666665,3824.5,54089750.0,715.0,435540.83333333535
92df8f8cf8_WN1Com_18,US ULTRA BOND CBT,WN1 Comdty,2010-12-06,2010-12-07,109.01822916666667,109.375,27448462.5,253.0,74208.33333333235
92df8f8cf8_WN1Com_19,US ULTRA BOND CBT,WN1 Comdty,2011-01-06,2011-01-07,104.38802083333333,104.65625,22797225.0,220.0,54718.75000000097
92df8f8cf8_WN1Com_20,US ULTRA BOND CBT,WN1 Comdty,2011-01-13,2011-01-14,104.97395833333333,105.0625,25612200.0,245.0,20010.416666667737
92df8f8cf8_WN1Com_21,US ULTRA BOND CBT,WN1 Comdty,2011-02-03,2011-02-04,103.1328125,102.21875,35129812.5,342.0,-261421.875
92df8f8cf8_WN1Com_22,US ULTRA BOND CBT,WN1 Comdty,2011-02-07,2011-02-08,101.27083333333333,101.34375,37289400.0,365.0,22093.750000001437
92df8f8cf8_WN1Com_23,US ULTRA BOND CBT,WN1 Comdty,2011-02-09,2011-02-10,100.74479166666667,101.3125,37456650.0,370.0,166338.5416666653
92df8f8cf8_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2011-02-16,2011-02-17,4053.7083333333335,4059.25,61379050.0,758.0,84011.66666666437
92df8f8cf8_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2011-02-25,2011-02-28,3989.6666666666665,4012.5,51045420.0,642.0,280850.00000000186
92df8f8cf8_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2011-03-17,2011-03-22,3893.5208333333335,3925.75,42347760.0,546.0,348166.66666666506
92df8f8cf8_WN1Com_24,US ULTRA BOND CBT,WN1 Comdty,2011-03-23,2011-03-24,107.32291666666667,106.9375,43656000.0,408.0,-142218.75000000175
92df8f8cf8_WN1Com_25,US ULTRA BOND CBT,WN1 Comdty,2011-03-25,2011-03-28,106.69270833333333,105.75,46710300.0,437.0,-352572.9166666649
92df8f8cf8_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2011-04-04,2011-04-08,4013.1458333333335,3998.5,52665120.0,657.0,-189760.00000000198
