,eq-eu,comm-base,eq-em,comm-enrgy,fx-dm,comm-soft,fi-us,eq-us,fi-eu,stir,eq-vol,comm-prec,eq-divf,fx-em,crypto,eq-as,fi-as,Total,,,,,,
Monthly Right Tail,,,,5.136985326473767,1.9233398015184027,1.4474380608148718,9.773609356558627,,2.7640465239296312,2.857076891426653,-10.903933195033883,-10.968568930970392,5.478439180939448,1.1912962868521784,-9.90765455302798,,34.81859695370836,1.8800703458330101,,,,,,
Quarterly Left Tail,,,,0.6980892424954633,0.6396928688187573,1.7690438702137996,2.570072843300864,,1.3105164875810378,0.5221245310743947,11.441643879436679,5.514765473459034,0.6457503445405175,1.1679157108990676,0.22541792590854565,,0.8509343591290133,0.7758594997422391,,,,,,
Quarterly Right Tail,,,,1.4108661093126331,3.724574195469791,0.5367022135522186,1.6760507377526075,,0.7672542620722212,1.2240812231944285,3.5780562662407083,1.3744260961432049,2.1607241801329926,0.7804383183308361,-3.0019942831312663,,4.845749029794868,0.8831701566989982,,,,,,
Yearly Left Tail,,,,0.8567344908771376,0.4648577637358414,0.5994557861834479,0.5084406623826772,,0.8567966520184649,1.1863695071919524,1.5067889747672571,2.6371087368732975,0.7138073161525335,0.7664298391740638,0.22541792590854565,,0.4329488035896742,0.97074532080188,,,,,,
Yearly Right Tail,,,,0.6533070340999338,0.6377942816570586,3.4013334836003546,0.8553746964231049,,0.42808249033634044,0.7020515665986499,0.5890272692881632,0.42509644277176123,1.1675381047530278,0.7812683830460071,-2.0386420639641143,,0.3964215801443615,0.5785226739132093,,,,,,
Num_Trades,,,,,,,,,,,,,,,,,,5827.0,,,,,,
Hit Rate (%),,,,,,,,,,,,,,,,,,49.3049596704994,,,,,,
Average Win,,,,,,,,,,,,,,,,,,50635.08377916617,,,,,,
Average Loss,,,,,,,,,,,,,,,,,,-56580.779934642014,,,,,,
W/L ratio,,,,,,,,,,,,,,,,,,0.8949166808526874,,,,,,
Total Wins,,,,,,,,,,,,,,,,,,2873.0,,,,,,
Total Losses,,,,,,,,,,,,,,,,,,2953.0,,,,,,
Total PnL Winners,,,,,,,,,,,,,,,,,,145474595.6975444,,,,,,
Total PnL Losers,,,,,,,,,,,,,,,,,,-167083043.14699787,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,0.8706724091059164,,,,,,
PnL Skew,,,,,,,,,,,,,,,,,,-0.8965511126326213,,,,,,
Trade EV,,,,,,,,,,,,,,,,,,-3708.331465497425,,,,,,
Best Trade,,,,,,,,,,,,,,,,,,382793.0039999995,,,,,,
Worst Trade,,,,,,,,,,,,,,,,,,-1000733.1593999993,,,,,,
25p Trade,,,,,,,,,,,,,,,,,,-38343.84080000003,,,,,,
50p Trade,,,,,,,,,,,,,,,,,,-818.1599999999689,,,,,,
75p Trade,,,,,,,,,,,,,,,,,,33915.95000000042,,,,,,
Pareto Number (%),,,,,,,,,,,,,,,,,,0.15445340655568904,,,,,,
