,eq-em,comm-prec,eq-divf,comm-soft,fx-dm,eq-eu,comm-enrgy,eq-vol,fx-em,fi-as,fi-us,fi-eu,stir,eq-us,crypto,eq-as,comm-base,Total,,,,,,
Daily Right Tail,-113.11943119580788,-131.17436174293948,-10.559312953216674,3.8073355652353182,-34.29296732797522,94.07744454141971,-85.8587529900667,-33.29039769180936,-11.804094216283003,600.4531276212275,81.19617012933124,52.91502301156038,534.3021366751852,36.24623160801719,52.89463337128838,149.75958228260197,-114.10623316894518,4.430920552170288,,,,,,
Weekly Left Tail,47.55352306207616,51.144716639753916,3.6163263436085296,1.7155560451156837,2.993666727861333,-44.63739790261787,11.008483350847362,15.665576830984744,3.5247008506228523,-294.86330387320857,-36.82553389594778,-25.14104668195621,-200.9171801132153,-19.063812971521795,-70.34538621700663,-56.12456527637336,44.931194445568394,2.2079841962719393,,,,,,
Weekly Right Tail,-61.84325829636656,-53.77671370906727,-8.478594423594938,1.8229040990312049,3.932519644043696,47.6294982717593,9.528112421113782,-14.91507567679257,-5.994057539565162,257.99952477008446,34.50780705484729,26.39363983215373,234.6317754238173,16.810791006018736,57.59272554180809,59.025895450262205,-49.053257171936714,3.215371467733064,,,,,,
Monthly Left Tail,15.59409723309321,1.7735813942248904,1.6256160760533767,1.1129058946362917,1.9475302737722715,3.0898766946921814,1.8115283311826493,7.659179236504778,1.6783981973170632,-98.83134031335335,2.6454615880939283,4.212703487324205,2.2965780440617856,-7.460523126605197,-80.75114798804317,4.9894266234283275,17.61840069932568,1.658911176002764,,,,,,
Monthly Right Tail,-30.49508519079279,2.2632295170903043,-6.120677190695496,1.3725044014424455,4.014029290862338,24.64063220724725,4.466139878657783,-7.36643225743537,-7.831188297572639,117.45226256296435,4.3520733158779,7.710721935665557,15.476116824587418,8.126879570502672,84.71402824778754,26.928157984601068,-23.376439532989924,2.7459506154234585,,,,,,
Quarterly Left Tail,2.901957661071363,1.0899206651006068,0.9611422845598496,1.0513025038159656,1.302041517734977,1.7018130969524903,1.0685031669218827,3.8446681514836807,0.9460088987618334,3.2229301006847226,1.6031238435385573,2.322748869649709,1.5542454081348598,5.267349296149994,-52.40380955630375,1.5424874569676448,1.321962604268855,1.1461812539266412,,,,,,
Quarterly Right Tail,-16.567956331717866,1.4518951432240563,-6.759779260304676,1.778354269682469,3.973709503192545,8.540348418896071,3.595535823997149,-4.400925617835103,-21.057658183523262,6.901346546099019,1.9548279314815868,2.756524892684855,8.0993906326813,3.924581332463608,84.462175634228,3.6096055830837166,6.479428819280035,3.301540632538581,,,,,,
Yearly Left Tail,2.220333234244927,1.1953596455359468,0.41067576627025104,0.6832636060083412,1.09587424466422,1.376827313815866,0.7799958068016853,2.2525308500543395,0.5835565336231157,1.3710922089837108,1.2709512438740977,2.43509228241855,0.7526385432415964,3.2464960479663607,-13.706415149502513,1.4609630132278282,1.3954773994741096,1.6172197409084117,,,,,,
Yearly Right Tail,122.92768966954992,0.776264364643027,-4.302726506568309,1.6534245371225675,2.7091934181380104,3.4074293642822404,3.607096685735628,-2.8383371469921546,1.781960142644684,1.2508592007963624,1.4774192582201442,1.5268237459943554,7.138043871325778,1.7143959371229267,9.386277188113262,1.8804136014793107,2.2341247766933967,2.0668239100211068,,,,,,
Num_Trades,,,,,,,,,,,,,,,,,,37519.0,,,,,,
Hit Rate (%),,,,,,,,,,,,,,,,,,43.9883792211946,,,,,,
Average Win,,,,,,,,,,,,,,,,,,115437.49050927817,,,,,,
Average Loss,,,,,,,,,,,,,,,,,,-95646.08674152005,,,,,,
W/L ratio,,,,,,,,,,,,,,,,,,1.2069232986106755,,,,,,
Total Wins,,,,,,,,,,,,,,,,,,16504.0,,,,,,
Total Losses,,,,,,,,,,,,,,,,,,20912.0,,,,,,
Total PnL Winners,,,,,,,,,,,,,,,,,,1905180343.3651268,,,,,,
Total PnL Losers,,,,,,,,,,,,,,,,,,-2000150965.9386673,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,0.9525182727749898,,,,,,
PnL Skew,,,,,,,,,,,,,,,,,,0.13534855345983518,,,,,,
Trade EV,,,,,,,,,,,,,,,,,,-2531.2674264649977,,,,,,
Best Trade,,,,,,,,,,,,,,,,,,1517509.9999999993,,,,,,
Worst Trade,,,,,,,,,,,,,,,,,,-1678167.6479999996,,,,,,
25p Trade,,,,,,,,,,,,,,,,,,-72887.49999999953,,,,,,
50p Trade,,,,,,,,,,,,,,,,,,-12837.5,,,,,,
75p Trade,,,,,,,,,,,,,,,,,,63575.16749998885,,,,,,
Pareto Number (%),,,,,,,,,,,,,,,,,,0.045310376076121435,,,,,,
